,index,Feature name,Coeffeints,Original Feature Name,Score - Calculation,Score - Preliminary
0,0,Intercept,-1.353596682510193,Intercept,365.88090432065025,366.0
1,1,grade:A,1.050039453195094,grade,77.5024096935638,78.0
2,2,grade:B,0.9534283085436572,grade,70.37163332991736,70.0
3,3,grade:C,0.7663657550892331,grade,56.56472482563727,57.0
4,4,grade:D,0.5746049098628527,grade,42.41103989056492,42.0
5,5,grade:E,0.37479464811285174,grade,27.663235205696964,28.0
6,6,grade:F,0.2085350735865148,grade,15.391774717989287,15.0
7,7,home_ownership:OWN,0.10572574961104388,home_ownership,7.803516655094527,8.0
8,8,home_ownership:MORTGAGE,0.11707184875194362,home_ownership,8.640961401923887,9.0
9,9,addr_state:NM_VA,0.060848660861798194,addr_state,4.4911815732885625,4.0
10,10,addr_state:NY,0.04287586834573347,addr_state,3.1646269141479,3.0
11,11,addr_state:OK_TN_MO_LA_MD_NC,0.07835867008496612,addr_state,5.783578639344235,6.0
12,12,addr_state:CA,0.08362621654441882,addr_state,6.172371215221413,6.0
13,13,addr_state:UT_KY_AZ_NJ,0.07634201847697146,addr_state,5.634731509213642,6.0
14,14,addr_state:AR_MI_PA_OH_MN,0.1558689746642354,addr_state,11.504540230545816,12.0
15,15,addr_state:RI_MA_DE_SD_IN,0.11193112501375801,addr_state,8.261529490040987,8.0
16,16,addr_state:GA_WA_OR,0.19596661966325923,addr_state,14.464109131509796,14.0
17,17,addr_state:WI_MT,0.2649650477810241,addr_state,19.55681724635562,20.0
18,18,addr_state:TX,0.24461036312698614,addr_state,18.054457402217984,18.0
19,19,addr_state:IL_CT,0.28984307553314775,addr_state,21.393040726669646,21.0
20,20,addr_state:KS_SC_CO_VT_AK_MS,0.34679198548030105,addr_state,25.59638540757289,26.0
21,21,addr_state:WV_NH_WY_DC_ME_ID,0.4601312770531112,addr_state,33.96185032712974,34.0
22,22,verification_status:Not Verified,0.0886457302491057,verification_status,6.542856730236458,7.0
23,23,verification_status:Source Verified,-0.0052797296574982385,verification_status,-0.3896918060950813,-0.0
24,24,purpose:credit_card,0.3638713154379716,purpose,26.856994448160055,27.0
25,25,purpose:debt_consolidation,0.24198912331872935,purpose,17.86098619415391,18.0
26,26,purpose:oth__med__vacation,0.2424029679738223,purpose,17.89153167309845,18.0
27,27,purpose:major_purch__car__home_impr,0.2867224623980234,purpose,21.162711250041323,21.0
28,28,initial_list_status:w,0.11844171947871882,initial_list_status,8.742070252615827,9.0
29,29,term:36,0.08704453936456708,term,6.424674359513617,6.0
30,30,emp_length:1,0.12033150678284046,emp_length,8.881553649579693,9.0
31,31,emp_length:2-4,0.09655477788064853,emp_length,7.126615986101156,7.0
32,32,emp_length:5-6,0.06926960539611048,emp_length,5.112723450900078,5.0
33,33,emp_length:7-9,0.07870546123006755,emp_length,5.809174962724246,6.0
34,34,emp_length:10,0.13883550886656307,emp_length,10.247316379827101,10.0
35,35,mths_since_issue_d:<38,0.0,mths_since_issue_d,0.0,0.0
36,36,mths_since_issue_d:38-39,0.0,mths_since_issue_d,0.0,0.0
37,37,mths_since_issue_d:40-41,0.0,mths_since_issue_d,0.0,0.0
38,38,mths_since_issue_d:42-48,0.0,mths_since_issue_d,0.0,0.0
39,39,mths_since_issue_d:49-52,0.0,mths_since_issue_d,0.0,0.0
40,40,mths_since_issue_d:53-64,0.0,mths_since_issue_d,0.0,0.0
41,41,mths_since_issue_d:65-84,0.524022402966891,mths_since_issue_d,38.677593341628466,39.0
42,42,int_rate:<9.548,0.9604559813119518,int_rate,70.89033914846861,71.0
43,43,int_rate:9.548-12.025,0.5094145875532758,int_rate,37.599404430279435,38.0
44,44,int_rate:12.025-15.74,0.23397797221636854,int_rate,17.269690778574077,17.0
45,45,int_rate:15.74-20.281,0.05532979128510314,int_rate,4.083839078035773,4.0
46,46,mths_since_earliest_cr_line:141-164,0.015189193676946945,mths_since_earliest_cr_line,1.121099885993437,1.0
47,47,mths_since_earliest_cr_line:165-247,0.0048466261926665985,mths_since_earliest_cr_line,0.3577248527878067,0.0
48,48,mths_since_earliest_cr_line:248-270,-0.021952573389835316,mths_since_earliest_cr_line,-1.620298486414046,-2.0
49,49,mths_since_earliest_cr_line:271-352,0.02476400417733007,mths_since_earliest_cr_line,1.8278075091031518,2.0
50,50,mths_since_earliest_cr_line:>352,0.06811672305202628,mths_since_earliest_cr_line,5.027630305601766,5.0
51,51,inq_last_6mths:0,0.8346334607459475,inq_last_6mths,61.60349901316607,62.0
52,52,inq_last_6mths:1-2,0.6649603923187588,inq_last_6mths,49.08009179908989,49.0
53,53,inq_last_6mths:3-6,0.4530995730393172,inq_last_6mths,33.44284696619632,33.0
54,54,acc_now_delinq:>=1,0.15654451753012688,acc_now_delinq,11.554401404617488,12.0
55,55,annual_inc:20K-30K,-0.0017807852708906714,annual_inc,-0.13143806094225874,-0.0
56,56,annual_inc:30K-40K,0.06419186729216173,annual_inc,4.737940448555367,5.0
57,57,annual_inc:40K-50K,0.1662081522906798,annual_inc,12.267665061580466,12.0
58,58,annual_inc:50K-60K,0.2087996081905379,annual_inc,15.411299764592766,15.0
59,59,annual_inc:60K-70K,0.31486500933818307,annual_inc,23.239885775379236,23.0
60,60,annual_inc:70K-80K,0.3606354423298667,annual_inc,26.61815774295091,27.0
61,61,annual_inc:80K-90K,0.4640482793628526,annual_inc,34.2509605285193,34.0
62,62,annual_inc:90K-100K,0.4794210085980048,annual_inc,35.38560699886447,35.0
63,63,annual_inc:100K-120K,0.5362321728277271,annual_inc,39.578784799853445,40.0
64,64,annual_inc:120K-140K,0.6287616162996209,annual_inc,46.40829469574854,46.0
65,65,annual_inc:>140K,0.6125973232154948,annual_inc,45.215223653321694,45.0
66,66,dti:<=1.4,-0.06643698575538277,dti,-4.903650499180306,-5.0
67,67,dti:1.4-3.5,0.09547836294203796,dti,7.04716682700659,7.0
68,68,dti:3.5-7.7,0.09470868480099728,dti,6.990357618135815,7.0
69,69,dti:7.7-10.5,0.051161827123492785,dti,3.776205621922958,4.0
70,70,dti:10.5-16.1,-0.021381767630590152,dti,-1.578167858203979,-2.0
71,71,dti:16.1-20.3,-0.11880569172108624,dti,-8.768934696384308,-9.0
72,72,dti:20.3-21.7,-0.1268818791730439,dti,-9.365030382845477,-9.0
73,73,dti:21.7-22.4,-0.16775524233590725,dti,-12.381854300997333,-12.0
74,74,dti:22.4-35,-0.18614894541766414,dti,-13.739475967198883,-14.0
75,75,mths_since_last_delinq:Missing,0.08241515680963697,mths_since_last_delinq,6.082984052250687,6.0
76,76,mths_since_last_delinq:4-30,0.1291981269687193,mths_since_last_delinq,9.535990421600227,10.0
77,77,mths_since_last_delinq:31-56,0.16518534446957794,mths_since_last_delinq,12.192172592656929,12.0
78,78,mths_since_last_delinq:>=57,0.12036739275723932,mths_since_last_delinq,8.884202359094036,9.0
79,79,mths_since_last_record:Missing,0.45441811172718477,mths_since_last_record,33.54016704809704,34.0
80,80,mths_since_last_record:3-20,0.5315435065788024,mths_since_last_record,39.232718819727815,39.0
81,81,mths_since_last_record:21-31,0.5237498502491846,mths_since_last_record,38.65747648570797,39.0
82,82,mths_since_last_record:32-80,0.7017956195314651,mths_since_last_record,51.79886475748486,52.0
83,83,mths_since_last_record:81-86,0.3704880603876857,mths_since_last_record,27.345370076685402,27.0
84,84,mths_since_last_record:>86,0.3953333575648872,mths_since_last_record,29.179177744508383,29.0
85,0,grade:G,0.0,grade,0.0,0.0
86,1,home_ownership:RENT,0.0,home_ownership,0.0,0.0
87,2,addr_state:ND_NE_IA_NV_FL_HI_AL,0.0,addr_state,0.0,0.0
88,3,verification_status:Verified,0.0,verification_status,0.0,0.0
89,4,purpose:educ__sm_b__wedd__ren_en__mov__house,0.0,purpose,0.0,0.0
90,5,initial_list_status:f,0.0,initial_list_status,0.0,0.0
91,6,term:60,0.0,term,0.0,0.0
92,7,emp_length:0,0.0,emp_length,0.0,0.0
93,8,mths_since_issue_d:>84,0.0,mths_since_issue_d,0.0,0.0
94,9,int_rate:>20.281,0.0,int_rate,0.0,0.0
95,10,mths_since_earliest_cr_line:<140,0.0,mths_since_earliest_cr_line,0.0,0.0
96,11,inq_last_6mths:>6,0.0,inq_last_6mths,0.0,0.0
97,12,acc_now_delinq:0,0.0,acc_now_delinq,0.0,0.0
98,13,annual_inc:<20K,0.0,annual_inc,0.0,0.0
99,14,dti:>35,0.0,dti,0.0,0.0
100,15,mths_since_last_delinq:0-3,0.0,mths_since_last_delinq,0.0,0.0
101,16,mths_since_last_record:0-2,0.0,mths_since_last_record,0.0,0.0
